branch_id,branch_name,city,date,year_month,hour,daypart,tickets,total_quantity,revenue,ingredient_cost,gross_margin,tips,avg_ticket,socioeconomic_level,capacity_people,num_employees,operational_cost_total,digital_engagement,digital_sentiment_score,digital_conversion_rate
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-01,2025-02,14,Comida,1,1,125,38,87,25.0,125.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-02,2025-02,13,Comida,1,2,250,80,170,37.5,250.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-02,2025-02,15,Comida,1,3,195,54,141,29.25,195.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-04,2025-02,14,Comida,1,2,190,50,140,28.5,190.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-04,2025-02,19,Tarde,1,4,140,32,108,14.0,140.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-05,2025-02,13,Comida,1,1,135,40,95,20.25,135.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-05,2025-02,14,Comida,1,1,185,60,125,0.0,185.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-06,2025-02,12,Comida,1,2,178,50,128,26.7,178.0,Alto,120,25,280000.0,96.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-06,2025-02,13,Comida,1,1,45,12,33,0.0,45.0,Alto,120,25,280000.0,96.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-07,2025-02,20,Tarde,1,4,500,160,340,75.0,500.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-07,2025-02,21,Noche,1,1,89,25,64,8.9,89.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-08,2025-02,13,Comida,1,1,95,35,60,9.5,95.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-08,2025-02,14,Comida,1,4,540,160,380,81.0,540.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-08,2025-02,19,Tarde,1,2,130,36,94,19.5,130.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-08,2025-02,22,Noche,1,1,35,7,28,3.5,35.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-09,2025-02,21,Noche,1,1,85,28,57,8.5,85.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-11,2025-02,21,Noche,1,2,270,80,190,40.5,270.0,Alto,120,25,280000.0,6.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-12,2025-02,12,Comida,1,1,95,25,70,14.25,95.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-12,2025-02,14,Comida,1,3,555,180,375,111.0,555.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-12,2025-02,19,Tarde,1,2,450,140,310,67.5,450.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-13,2025-02,14,Comida,1,1,95,25,70,14.25,95.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-13,2025-02,20,Tarde,1,2,70,16,54,0.0,70.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-15,2025-02,13,Comida,1,2,330,100,230,66.0,330.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-15,2025-02,20,Tarde,1,2,170,56,114,34.0,170.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-17,2025-02,13,Comida,1,1,135,40,95,20.25,135.0,Alto,120,25,280000.0,2382.0,1.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-17,2025-02,14,Comida,2,3,223,62,161,31.2,111.5,Alto,120,25,280000.0,2382.0,1.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-19,2025-02,14,Comida,1,2,90,24,66,9.0,90.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-19,2025-02,21,Noche,1,1,175,55,120,26.25,175.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-21,2025-02,13,Comida,1,3,405,120,285,60.75,405.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-21,2025-02,14,Comida,1,3,555,180,375,55.5,555.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-21,2025-02,15,Comida,1,1,145,42,103,21.75,145.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-22,2025-02,13,Comida,1,1,125,40,85,12.5,125.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-22,2025-02,21,Noche,1,1,89,25,64,13.35,89.0,Alto,120,25,280000.0,0.0,0.0,0.0
SUC001,Ciudad de México Centro,Ciudad de México,2025-02-23,2025-02,11,Mañana,1,1,185,60,125,37.0,185.0,Alto,120,25,280000.0,4451.0,1.0,0.0
