record_id,date,month,day_of_week,branch_id,branch_name,city,platform,interaction_type,content,sentiment,rating,reach,engagement,engagement_rate,campaign,campaign_cost,responded,response_hours,conversion,year_month
DIG-00001,2025-04-21,April,Lunes,SUC004,Monterrey,Monterrey,Instagram,Mención,Excelente servicio y ambiente familiar,positivo,,2857.0,258.0,9.03,Happy Hour Margaritas,80.77,,,True,2025-04
DIG-00002,2025-02-14,February,Viernes,SUC003,Guadalajara,Guadalajara,Instagram,Queja,El personal es muy amable,positivo,,194.0,15.0,7.73,Orgánico,0.0,,,False,2025-02
DIG-00003,2025-08-25,August,Lunes,SUC010,León,León,Facebook,Mención,¡Los mejores tacos de la ciudad! 🌮,positivo,,370.0,52.0,14.05,Orgánico,0.0,,,False,2025-08
DIG-00004,2025-03-11,March,Martes,SUC005,Puebla,Puebla,Instagram,Pregunta,"El mole está increíble, muy auténtico",positivo,,3572.0,261.0,7.31,Orgánico,0.0,True,8.0,False,2025-03
DIG-00005,2025-08-07,August,Jueves,SUC004,Monterrey,Monterrey,Instagram,Review,"El mole está increíble, muy auténtico",positivo,5.0,2688.0,287.0,10.68,Orgánico,0.0,,,False,2025-08
DIG-00006,2025-08-29,August,Viernes,SUC002,Ciudad de México Sur,Ciudad de México,TikTok,Comentario,Servicio normal,neutro,,44282.0,1030.0,2.33,Orgánico,0.0,,,False,2025-08
DIG-00007,2025-12-10,December,Miércoles,SUC005,Puebla,Puebla,TikTok,Mención,"El mole está increíble, muy auténtico",positivo,,27572.0,3387.0,12.28,Orgánico,0.0,,,False,2025-12
DIG-00008,2025-06-21,June,Sábado,SUC006,Querétaro,Querétaro,Instagram,Queja,El lugar estaba muy lleno y ruidoso,negativo,,3692.0,273.0,7.39,Orgánico,0.0,False,,False,2025-06
DIG-00009,2025-04-20,April,Domingo,SUC007,Cancún,Cancún,Instagram,Compartido,El servicio fue lento,negativo,,591.0,25.0,4.23,Orgánico,0.0,,,False,2025-04
DIG-00010,2025-12-11,December,Jueves,SUC010,León,León,Twitter/X,Queja,¡Los mejores tacos de la ciudad! 🌮,positivo,,143.0,18.0,12.59,Orgánico,0.0,,,False,2025-12
DIG-00011,2025-07-28,July,Lunes,SUC009,Tijuana,Tijuana,Facebook,Review,La cochinita pibil es espectacular,positivo,5.0,1984.0,81.0,4.08,Orgánico,0.0,,,False,2025-07
DIG-00012,2026-01-22,January,Jueves,SUC004,Monterrey,Monterrey,Google Reviews,Review,"El mole está increíble, muy auténtico",positivo,5.0,310.0,30.0,9.68,Orgánico,0.0,,,False,2026-01
DIG-00013,2025-10-12,October,Domingo,SUC006,Querétaro,Querétaro,TripAdvisor,Review,Ambiente perfecto para celebrar,positivo,4.0,416.0,26.0,6.25,Orgánico,0.0,,,False,2025-10
DIG-00014,2026-01-18,January,Domingo,SUC008,Mérida,Mérida,TikTok,Mención,"Lugar promedio, cumple",neutro,,24139.0,1633.0,6.76,Noche Mexicana,311.73,,,False,2026-01
DIG-00015,2025-08-03,August,Domingo,SUC003,Guadalajara,Guadalajara,Instagram,Mención,Ambiente perfecto para celebrar,positivo,,4133.0,107.0,2.59,Orgánico,0.0,,,False,2025-08
DIG-00016,2025-06-21,June,Sábado,SUC010,León,León,TikTok,Review,Las margaritas son las mejores 🍹,positivo,5.0,38989.0,1238.0,3.18,Noche Mexicana,268.49,,,False,2025-06
DIG-00017,2025-02-28,February,Viernes,SUC001,Ciudad de México Centro,Ciudad de México,TripAdvisor,Review,¡Los mejores tacos de la ciudad! 🌮,positivo,5.0,247.0,8.0,3.24,Orgánico,0.0,,,False,2025-02
DIG-00018,2025-04-11,April,Viernes,SUC007,Cancún,Cancún,Twitter/X,Queja,"Recomiendo 100%, no se arrepentirán",positivo,,272.0,27.0,9.93,Temporada de Pozole,271.55,,,False,2025-04
DIG-00019,2025-08-06,August,Miércoles,SUC004,Monterrey,Monterrey,Twitter/X,Comentario,El estacionamiento es un problema,negativo,,353.0,16.0,4.53,Descuento Cumpleañeros,205.49,,,False,2025-08
DIG-00020,2025-06-29,June,Domingo,SUC007,Cancún,Cancún,TripAdvisor,Review,"Comida aceptable, nada extraordinario",neutro,3.0,348.0,40.0,11.49,Happy Hour Margaritas,436.83,,,True,2025-06
DIG-00021,2025-06-11,June,Miércoles,SUC001,Ciudad de México Centro,Ciudad de México,Google Reviews,Review,"El mole está increíble, muy auténtico",positivo,5.0,490.0,39.0,7.96,Orgánico,0.0,,,False,2025-06
DIG-00022,2025-08-01,August,Viernes,SUC004,Monterrey,Monterrey,TikTok,Comentario,¡Los mejores tacos de la ciudad! 🌮,positivo,,6567.0,479.0,7.29,Orgánico,0.0,,,False,2025-08
DIG-00023,2025-12-12,December,Viernes,SUC004,Monterrey,Monterrey,Instagram,Mención,No había disponibilidad de varios platillos,negativo,,3939.0,91.0,2.31,Día de la Familia,97.46,,,False,2025-12
DIG-00024,2025-04-11,April,Viernes,SUC006,Querétaro,Querétaro,Facebook,Comentario,Ambiente perfecto para celebrar,positivo,,2530.0,89.0,3.52,Combo Ejecutivo,108.91,,,False,2025-04
DIG-00025,2025-05-23,May,Viernes,SUC003,Guadalajara,Guadalajara,TripAdvisor,Review,Servicio normal,neutro,3.0,80.0,3.0,3.75,Orgánico,0.0,,,False,2025-05
DIG-00026,2026-01-15,January,Jueves,SUC010,León,León,Google Reviews,Review,"Siempre regresamos, nunca falla",positivo,5.0,395.0,45.0,11.39,Orgánico,0.0,,,False,2026-01
DIG-00027,2025-10-30,October,Jueves,SUC005,Puebla,Puebla,TikTok,Comentario,Servicio normal,neutro,,10628.0,726.0,6.83,Orgánico,0.0,,,False,2025-10
DIG-00028,2025-04-21,April,Lunes,SUC004,Monterrey,Monterrey,Instagram,Comentario,Precios estándar para la zona,neutro,,843.0,69.0,8.19,Orgánico,0.0,,,False,2025-04
DIG-00029,2025-06-16,June,Lunes,SUC010,León,León,Facebook,Like,No había disponibilidad de varios platillos,negativo,,2853.0,218.0,7.64,Orgánico,0.0,,,False,2025-06
DIG-00030,2026-01-24,January,Sábado,SUC006,Querétaro,Querétaro,Facebook,Review,Ambiente perfecto para celebrar,positivo,5.0,4253.0,467.0,10.98,Orgánico,0.0,,,False,2026-01
DIG-00031,2025-05-10,May,Sábado,SUC002,Ciudad de México Sur,Ciudad de México,TripAdvisor,Review,Las margaritas son las mejores 🍹,positivo,5.0,398.0,17.0,4.27,Orgánico,0.0,,,False,2025-05
DIG-00032,2025-04-15,April,Martes,SUC008,Mérida,Mérida,Instagram,Review,"Recomiendo 100%, no se arrepentirán",positivo,4.0,1972.0,158.0,8.01,Día de la Familia,223.86,,,False,2025-04
DIG-00033,2025-06-24,June,Martes,SUC001,Ciudad de México Centro,Ciudad de México,Instagram,Comentario,"Siempre regresamos, nunca falla",positivo,,1809.0,183.0,10.12,Orgánico,0.0,,,False,2025-06
DIG-00034,2025-04-08,April,Martes,SUC008,Mérida,Mérida,Facebook,Mención,Precios estándar para la zona,neutro,,938.0,104.0,11.09,Orgánico,0.0,,,False,2025-04
DIG-00035,2025-06-19,June,Jueves,SUC001,Ciudad de México Centro,Ciudad de México,Google Reviews,Review,¡Los mejores tacos de la ciudad! 🌮,positivo,5.0,192.0,9.0,4.69,Orgánico,0.0,,,False,2025-06
DIG-00036,2026-01-06,January,Martes,SUC006,Querétaro,Querétaro,TikTok,Like,La comida llegó fría 😞,negativo,,11206.0,1436.0,12.81,Orgánico,0.0,,,False,2026-01
DIG-00037,2025-03-13,March,Jueves,SUC002,Ciudad de México Sur,Ciudad de México,Instagram,Like,El servicio fue lento,negativo,,153.0,4.0,2.61,Orgánico,0.0,,,False,2025-03
DIG-00038,2025-04-09,April,Miércoles,SUC009,Tijuana,Tijuana,Facebook,Comentario,¡Los mejores tacos de la ciudad! 🌮,positivo,,4006.0,349.0,8.71,Orgánico,0.0,,,False,2025-04
DIG-00039,2025-12-23,December,Martes,SUC006,Querétaro,Querétaro,Twitter/X,Like,Precios elevados para la porción,negativo,,456.0,38.0,8.33,Orgánico,0.0,,,False,2025-12
DIG-00040,2025-04-11,April,Viernes,SUC008,Mérida,Mérida,Facebook,Compartido,Ambiente perfecto para celebrar,positivo,,4044.0,103.0,2.55,Orgánico,0.0,,,False,2025-04
DIG-00041,2025-12-17,December,Miércoles,SUC004,Monterrey,Monterrey,Google Reviews,Review,Las margaritas son las mejores 🍹,positivo,5.0,161.0,4.0,2.48,Orgánico,0.0,,,False,2025-12
DIG-00042,2025-12-25,December,Jueves,SUC008,Mérida,Mérida,Instagram,Queja,"El mole está increíble, muy auténtico",positivo,,3708.0,290.0,7.82,Orgánico,0.0,,,False,2025-12
DIG-00043,2025-09-03,September,Miércoles,SUC010,León,León,Yelp,Review,Excelente servicio y ambiente familiar,positivo,4.0,472.0,14.0,2.97,Orgánico,0.0,,,False,2025-09
DIG-00044,2025-02-07,February,Viernes,SUC003,Guadalajara,Guadalajara,TikTok,Mención,¡Los mejores tacos de la ciudad! 🌮,positivo,,32594.0,4260.0,13.07,Orgánico,0.0,,,False,2025-02
DIG-00045,2025-06-12,June,Jueves,SUC004,Monterrey,Monterrey,Facebook,Compartido,"Recomiendo 100%, no se arrepentirán",positivo,,3256.0,159.0,4.88,Orgánico,0.0,,,False,2025-06
DIG-00046,2025-08-15,August,Viernes,SUC006,Querétaro,Querétaro,TikTok,Mención,Ambiente perfecto para celebrar,positivo,,4975.0,438.0,8.8,Orgánico,0.0,,,False,2025-08
DIG-00047,2025-06-08,June,Domingo,SUC002,Ciudad de México Sur,Ciudad de México,Instagram,Compartido,Comida deliciosa y precios justos,positivo,,1586.0,132.0,8.32,Festival del Mole,371.75,,,True,2025-06
DIG-00048,2025-09-21,September,Domingo,SUC004,Monterrey,Monterrey,Facebook,Like,La cochinita pibil es espectacular,positivo,,3060.0,442.0,14.44,Festival del Mole,177.85,,,False,2025-09
DIG-00049,2025-09-28,September,Domingo,SUC008,Mérida,Mérida,Twitter/X,Review,"Lugar promedio, cumple",neutro,3.0,103.0,14.0,13.59,Orgánico,0.0,,,False,2025-09
DIG-00050,2025-05-10,May,Sábado,SUC005,Puebla,Puebla,TikTok,Like,Las margaritas son las mejores 🍹,positivo,,34394.0,3367.0,9.79,Orgánico,0.0,,,False,2025-05
DIG-00051,2025-04-23,April,Miércoles,SUC008,Mérida,Mérida,Facebook,Mención,La cochinita pibil es espectacular,positivo,,319.0,47.0,14.73,Orgánico,0.0,,,False,2025-04
DIG-00052,2025-02-10,February,Lunes,SUC001,Ciudad de México Centro,Ciudad de México,TripAdvisor,Review,"Comida aceptable, nada extraordinario",neutro,3.0,291.0,30.0,10.31,Promoción 2x1 Tacos,206.56,,,False,2025-02
DIG-00053,2025-12-19,December,Viernes,SUC008,Mérida,Mérida,Instagram,Mención,"El mole está increíble, muy auténtico",positivo,,1093.0,118.0,10.8,Orgánico,0.0,,,False,2025-12
DIG-00054,2025-06-23,June,Lunes,SUC006,Querétaro,Querétaro,TripAdvisor,Review,"Siempre regresamos, nunca falla",positivo,4.0,355.0,11.0,3.1,Orgánico,0.0,,,False,2025-06
DIG-00055,2025-11-19,November,Miércoles,SUC007,Cancún,Cancún,Facebook,Comentario,"El mole está increíble, muy auténtico",positivo,,2021.0,110.0,5.44,Descuento Cumpleañeros,202.88,,,False,2025-11
DIG-00056,2025-12-17,December,Miércoles,SUC009,Tijuana,Tijuana,Twitter/X,Comentario,Precios estándar para la zona,neutro,,229.0,23.0,10.04,Descuento Cumpleañeros,201.89,,,False,2025-12
DIG-00057,2025-12-15,December,Lunes,SUC001,Ciudad de México Centro,Ciudad de México,TripAdvisor,Review,"El mole está increíble, muy auténtico",positivo,4.0,150.0,3.0,2.0,Promoción 2x1 Tacos,80.93,,,False,2025-12
DIG-00058,2025-02-02,February,Domingo,SUC010,León,León,Google Reviews,Review,Excelente servicio y ambiente familiar,positivo,5.0,288.0,21.0,7.29,Orgánico,0.0,,,False,2025-02
DIG-00059,2025-06-24,June,Martes,SUC002,Ciudad de México Sur,Ciudad de México,Instagram,Mención,"Lugar promedio, cumple",neutro,,296.0,38.0,12.84,Combo Ejecutivo,302.0,,,False,2025-06
DIG-00060,2025-07-29,July,Martes,SUC009,Tijuana,Tijuana,Facebook,Queja,Comida deliciosa y precios justos,positivo,,2890.0,357.0,12.35,Orgánico,0.0,,,False,2025-07
DIG-00061,2025-02-03,February,Lunes,SUC010,León,León,Instagram,Comentario,La comida llegó fría 😞,negativo,,2587.0,165.0,6.38,Orgánico,0.0,,,False,2025-02
DIG-00062,2025-09-13,September,Sábado,SUC003,Guadalajara,Guadalajara,Google Reviews,Review,"Lugar promedio, cumple",neutro,3.0,250.0,10.0,4.0,Orgánico,0.0,,,False,2025-09
DIG-00063,2025-08-21,August,Jueves,SUC003,Guadalajara,Guadalajara,Google Reviews,Review,"El mole está increíble, muy auténtico",positivo,5.0,306.0,35.0,11.44,Orgánico,0.0,,,False,2025-08
DIG-00064,2025-11-04,November,Martes,SUC002,Ciudad de México Sur,Ciudad de México,Yelp,Review,Precios elevados para la porción,negativo,2.0,70.0,9.0,12.86,Orgánico,0.0,False,,False,2025-11
DIG-00065,2025-11-11,November,Martes,SUC005,Puebla,Puebla,TikTok,Compartido,Servicio normal,neutro,,3513.0,74.0,2.11,Orgánico,0.0,,,False,2025-11
DIG-00066,2025-08-25,August,Lunes,SUC003,Guadalajara,Guadalajara,Instagram,Review,Ambiente perfecto para celebrar,positivo,4.0,3262.0,451.0,13.83,Festival del Mole,270.35,,,False,2025-08
DIG-00067,2025-12-07,December,Domingo,SUC004,Monterrey,Monterrey,Facebook,Comentario,La comida llegó fría 😞,negativo,,3587.0,504.0,14.05,Orgánico,0.0,,,False,2025-12
DIG-00068,2025-08-13,August,Miércoles,SUC008,Mérida,Mérida,Instagram,Compartido,¡Los mejores tacos de la ciudad! 🌮,positivo,,3717.0,357.0,9.6,Orgánico,0.0,,,False,2025-08
DIG-00069,2026-01-11,January,Domingo,SUC007,Cancún,Cancún,Google Reviews,Review,"Recomiendo 100%, no se arrepentirán",positivo,5.0,211.0,19.0,9.0,Orgánico,0.0,,,False,2026-01
DIG-00070,2025-03-17,March,Lunes,SUC001,Ciudad de México Centro,Ciudad de México,Facebook,Mención,El personal es muy amable,positivo,,3849.0,145.0,3.77,Orgánico,0.0,,,False,2025-03
DIG-00071,2025-06-29,June,Domingo,SUC002,Ciudad de México Sur,Ciudad de México,Google Reviews,Review,La cochinita pibil es espectacular,positivo,5.0,170.0,16.0,9.41,Orgánico,0.0,,,False,2025-06
DIG-00072,2025-12-10,December,Miércoles,SUC006,Querétaro,Querétaro,TikTok,Queja,Ambiente perfecto para celebrar,positivo,,31479.0,4663.0,14.81,Día de la Familia,63.95,,,False,2025-12
