ticket_id,date,time,day_of_week,month,branch_id,branch_name,city,dish,category,unit_price,quantity,total_sale,ingredient_cost,gross_margin,payment_method,tip,total_with_tip,hour,year_month,daypart
TKT-20251225-010-00001,2025-12-25,13:07,Jueves,December,SUC010,León,León,Guacamole con Totopos,Entradas,89,2,178,50,128,Tarjeta de Crédito,0.0,178.0,13,2025-12,Comida
TKT-20250606-001-00002,2025-06-06,13:14,Viernes,June,SUC001,Ciudad de México Centro,Ciudad de México,Tacos al Pastor (3 pzas),Platos Fuertes,85,3,255,84,171,Tarjeta de Débito,38.25,293.25,13,2025-06,Comida
TKT-20260113-010-00003,2026-01-13,12:47,Martes,January,SUC010,León,León,Sopa de Tortilla,Entradas,75,2,150,40,110,Efectivo,0.0,150.0,12,2026-01,Comida
TKT-20251130-003-00004,2025-11-30,13:27,Domingo,November,SUC003,Guadalajara,Guadalajara,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Tarjeta de Crédito,8.5,93.5,13,2025-11,Comida
TKT-20250523-002-00005,2025-05-23,15:14,Viernes,May,SUC002,Ciudad de México Sur,Ciudad de México,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Crédito,8.9,97.9,15,2025-05,Comida
TKT-20251115-002-00006,2025-11-15,20:12,Sábado,November,SUC002,Ciudad de México Sur,Ciudad de México,Agua de Tamarindo,Bebidas,35,1,35,8,27,Tarjeta de Crédito,0.0,35.0,20,2025-11,Tarde
TKT-20251107-002-00007,2025-11-07,15:26,Viernes,November,SUC002,Ciudad de México Sur,Ciudad de México,Agua de Horchata,Bebidas,35,1,35,8,27,App de Pago,7.0,42.0,15,2025-11,Comida
TKT-20250623-003-00008,2025-06-23,19:51,Lunes,June,SUC003,Guadalajara,Guadalajara,Cerveza Nacional,Bebidas,55,1,55,20,35,Tarjeta de Débito,5.5,60.5,19,2025-06,Tarde
TKT-20250423-005-00009,2025-04-23,12:44,Miércoles,April,SUC005,Puebla,Puebla,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,App de Pago,0.0,135.0,12,2025-04,Comida
TKT-20250421-003-00010,2025-04-21,15:13,Lunes,April,SUC003,Guadalajara,Guadalajara,Mole Poblano,Platos Fuertes,175,1,175,55,120,Tarjeta de Crédito,0.0,175.0,15,2025-04,Comida
TKT-20250325-008-00011,2025-03-25,21:05,Martes,March,SUC008,Mérida,Mérida,Guacamole con Totopos,Entradas,89,3,267,75,192,Tarjeta de Débito,26.7,293.7,21,2025-03,Noche
TKT-20250727-001-00012,2025-07-27,21:38,Domingo,July,SUC001,Ciudad de México Centro,Ciudad de México,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Efectivo,8.5,93.5,21,2025-07,Noche
TKT-20250924-003-00013,2025-09-24,13:34,Miércoles,September,SUC003,Guadalajara,Guadalajara,Margarita,Bebidas,95,2,190,50,140,Tarjeta de Crédito,19.0,209.0,13,2025-09,Comida
TKT-20250313-002-00014,2025-03-13,14:35,Jueves,March,SUC002,Ciudad de México Sur,Ciudad de México,Mole Poblano,Platos Fuertes,175,2,350,110,240,Efectivo,70.0,420.0,14,2025-03,Comida
TKT-20251214-002-00015,2025-12-14,20:56,Domingo,December,SUC002,Ciudad de México Sur,Ciudad de México,Burrito Grande,Platos Fuertes,145,1,145,42,103,Tarjeta de Débito,21.75,166.75,20,2025-12,Tarde
TKT-20250510-008-00016,2025-05-10,20:45,Sábado,May,SUC008,Mérida,Mérida,Mole Poblano,Platos Fuertes,175,1,175,55,120,Tarjeta de Crédito,0.0,175.0,20,2025-05,Tarde
TKT-20250528-007-00017,2025-05-28,20:49,Miércoles,May,SUC007,Cancún,Cancún,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Efectivo,8.5,93.5,20,2025-05,Tarde
TKT-20250531-007-00018,2025-05-31,13:55,Sábado,May,SUC007,Cancún,Cancún,Guacamole con Totopos,Entradas,89,2,178,50,128,App de Pago,26.7,204.7,13,2025-05,Comida
TKT-20250921-007-00019,2025-09-21,12:40,Domingo,September,SUC007,Cancún,Cancún,Tacos al Pastor (3 pzas),Platos Fuertes,85,2,170,56,114,Tarjeta de Crédito,25.5,195.5,12,2025-09,Comida
TKT-20250809-005-00020,2025-08-09,14:22,Sábado,August,SUC005,Puebla,Puebla,Guacamole con Totopos,Entradas,89,1,89,25,64,Efectivo,0.0,89.0,14,2025-08,Comida
TKT-20260126-007-00021,2026-01-26,12:59,Lunes,January,SUC007,Cancún,Cancún,Sopa de Tortilla,Entradas,75,1,75,20,55,Tarjeta de Crédito,15.0,90.0,12,2026-01,Comida
TKT-20251209-004-00022,2025-12-09,13:40,Martes,December,SUC004,Monterrey,Monterrey,Mole Poblano,Platos Fuertes,175,2,350,110,240,Tarjeta de Crédito,0.0,350.0,13,2025-12,Comida
TKT-20250606-002-00023,2025-06-06,13:10,Viernes,June,SUC002,Ciudad de México Sur,Ciudad de México,Enchiladas Verdes,Platos Fuertes,135,3,405,120,285,Tarjeta de Débito,60.75,465.75,13,2025-06,Comida
TKT-20251225-008-00024,2025-12-25,20:44,Jueves,December,SUC008,Mérida,Mérida,Agua de Jamaica,Bebidas,35,1,35,7,28,Tarjeta de Débito,3.5,38.5,20,2025-12,Tarde
TKT-20250717-009-00025,2025-07-17,19:53,Jueves,July,SUC009,Tijuana,Tijuana,Queso Fundido,Entradas,95,1,95,30,65,Efectivo,0.0,95.0,19,2025-07,Tarde
TKT-20250529-008-00026,2025-05-29,14:52,Jueves,May,SUC008,Mérida,Mérida,Guacamole con Totopos,Entradas,89,3,267,75,192,Efectivo,26.7,293.7,14,2025-05,Comida
TKT-20250825-002-00027,2025-08-25,14:17,Lunes,August,SUC002,Ciudad de México Sur,Ciudad de México,Agua de Horchata,Bebidas,35,1,35,8,27,Tarjeta de Crédito,7.0,42.0,14,2025-08,Comida
TKT-20250712-005-00028,2025-07-12,13:13,Sábado,July,SUC005,Puebla,Puebla,Pozole Rojo,Platos Fuertes,125,2,250,76,174,Tarjeta de Crédito,37.5,287.5,13,2025-07,Comida
TKT-20251227-003-00029,2025-12-27,22:29,Sábado,December,SUC003,Guadalajara,Guadalajara,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Tarjeta de Crédito,13.5,148.5,22,2025-12,Noche
TKT-20250607-006-00030,2025-06-07,11:47,Sábado,June,SUC006,Querétaro,Querétaro,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Efectivo,13.5,148.5,11,2025-06,Mañana
TKT-20251127-003-00031,2025-11-27,20:27,Jueves,November,SUC003,Guadalajara,Guadalajara,Pozole Rojo,Platos Fuertes,125,1,125,38,87,Tarjeta de Crédito,25.0,150.0,20,2025-11,Tarde
TKT-20250805-007-00032,2025-08-05,13:14,Martes,August,SUC007,Cancún,Cancún,Nachos con Carne,Entradas,125,2,250,80,170,Tarjeta de Crédito,37.5,287.5,13,2025-08,Comida
TKT-20251019-007-00033,2025-10-19,14:31,Domingo,October,SUC007,Cancún,Cancún,Tacos al Pastor (3 pzas),Platos Fuertes,85,2,170,56,114,Tarjeta de Crédito,0.0,170.0,14,2025-10,Comida
TKT-20250329-003-00034,2025-03-29,20:09,Sábado,March,SUC003,Guadalajara,Guadalajara,Michelada,Bebidas,75,1,75,25,50,Efectivo,7.5,82.5,20,2025-03,Tarde
TKT-20260115-001-00035,2026-01-15,15:27,Jueves,January,SUC001,Ciudad de México Centro,Ciudad de México,Pozole Rojo,Platos Fuertes,125,1,125,38,87,Tarjeta de Crédito,18.75,143.75,15,2026-01,Comida
TKT-20250815-007-00036,2025-08-15,13:38,Viernes,August,SUC007,Cancún,Cancún,Fajitas de Pollo,Platos Fuertes,195,1,195,58,137,App de Pago,0.0,195.0,13,2025-08,Comida
